,Validation Predicted
804,1256916.4453850554
805,1503413.6333921119
806,1159310.488489367
807,402591.71664609876
808,895151.201029513
809,358611.45055912825
810,478855.7022525009
811,312578.790642831
812,430635.02270502277
813,1784252.4915324964
814,221328.88548759528
815,829400.0
816,560246.786055859
817,466205.40960282006
818,1777279.0509269035
819,1740822.427963473
820,489303.9865907529
821,1612855.647441571
822,1418953.4371431821
823,474168.79089390964
824,988597.1291155322
825,995455.3403032138
826,404540.225749772
827,568590.6897262725
828,400549.82343572273
829,900907.0162499838
830,722856.3388632939
831,459231.46178624773
832,444293.8138220375
833,489303.9865907529
834,399620.5146613128
835,504190.5720751849
836,565274.9792092803
837,1300337.4970893494
838,399620.5146613128
839,442896.21641944005
840,1649823.908213324
841,319344.9470061951
842,548543.926684942
843,679843.3247928786
844,944033.1968808866
845,1440011.7765348572
846,233020.21833498834
847,120325.38212310975
848,278174.0340925708
849,411226.3269388945
850,446788.8214532208
851,1003197.883216626
852,320971.83684933325
853,615239.5979915347
854,1129104.9033843314
855,489303.9865907529
856,1040421.0355901887
857,963093.8458611948
858,730888.6499986557
859,457966.20785518823
860,325122.3959453882
861,1126510.6722791304
862,703987.0575024572
863,992696.9058270232
864,362490.15705732343
865,944033.1968808866
866,507646.5749359131
867,1228597.6133442116
868,988597.1291155322
869,786105.8938821398
870,682581.3380180113
871,153647.56046567002
872,400549.82343572273
873,1122812.3959202867
874,126902.453634525
875,1143890.2909138286
876,337270.97416943545
877,391781.54835439264
878,165535.39009984976
879,317305.69412808574
880,1297723.2331960758
881,575514.2765565277
882,1010370.6622447319
883,633285.3763120014
884,519542.77252661233
885,1498802.6020522255
886,1282456.1368014542
887,119809.96042608414
888,322779.0977855453
889,375231.4373179509
890,809568.6801607719
891,634739.6159380616
892,794414.6026673098
893,330298.13836140925
894,1056771.9607005883
895,364048.4969601421
896,504710.3667805315
897,1144659.5937605156
898,952223.9879347337
899,293931.8379669446
900,953278.8350665106
901,344765.5739942731
902,321529.8209762735
903,679702.9914706717
904,1106465.2061986856
905,785633.1004041716
906,1194677.811266311
907,1059957.5573205869
908,1573351.8125180134
909,431692.1733739229
910,344286.30436322064
911,489303.9865907529
912,434289.8925067634
913,1255812.912655341
914,321631.27635705826
915,1533782.3609597841
916,983528.5806839785
917,489303.9865907529
918,320534.15422929643
919,330723.98261130345
920,834195.689697357
921,188838.35250367786
922,888853.3861354737
923,967754.2561378177
924,489303.9865907529
925,444806.4929902432
926,325178.9230624083
927,320640.69045074465
928,489303.9865907529
929,1872671.5827944393
930,1510811.7306623277
931,828032.9138233407
932,511389.6562236362
933,826321.3713773496
934,531860.3270169365
935,132826.84292074954
936,384213.32374512166
937,988597.1291155322
938,741880.1535301585
939,900124.4974673896
940,435250.7298266853
941,552801.343508647
942,523770.586933114
943,555982.7131013375
944,649550.6062663639
945,725314.9854215387
946,786953.5825880213
947,504190.5720751849
948,797716.4674421957
949,400549.82343572273
950,504190.5720751849
951,1885354.411865097
952,124240.01893171268
953,1069025.119930181
954,351812.3259020068
955,644316.1826728513
956,122725.69410596203
957,1002528.6210928282
958,95975.00617508384
959,401045.9267813797
960,944033.1968808866
961,82177.46682806291
962,364880.2105251241
963,489303.9865907529
964,564440.1908247311
965,340773.37020694395
966,321631.27635705826
967,1240920.627815706
968,508507.7293660435
969,954822.5102484626
970,952223.9879347337
971,134031.72852633073
972,952223.9879347337
973,489303.9865907529
974,928244.7519368385
975,1266353.6890296475
976,630985.631009835
977,700383.3732720268
978,465597.856745625
979,319986.63729752577
980,335668.0005171817
981,617910.3407000507
982,988597.1291155322
983,1156668.272005772
984,1003197.883216626
985,546719.2807423548
986,135395.68535559464
987,399620.5146613128
988,340773.37020694395
989,570763.2654662099
990,1081180.0220312446
991,743462.4355275206
992,403314.78677225875
993,666118.5740159941
994,320534.15422929643
995,1427008.493052337
996,912433.4870312454
997,93718.47576005879
998,1019206.1688934586
999,1202248.0836332298
1000,1216866.5420590276
1001,1233360.3889605997
1002,322784.18356519705
1003,699947.5024265179
1004,341960.7543005012
1005,1875664.2749058523
1006,919485.2798619416
1007,492080.11652262206
1008,944033.1968808866
1009,954822.5102484626
1010,347582.4968958164
1011,220246.26731905492
1012,451455.23311317613
1013,1340121.5397143404
1014,395269.82321133616
1015,1137858.1241994824
1016,97093.76100443056
1017,668872.2254837165
1018,429210.9063730544
1019,193330.70325447727
1020,954822.5102484626
1021,489303.9865907529
1022,470178.6028111653
1023,229116.61483689415
1024,400549.82343572273
1025,354679.50285516796
1026,672662.8197218213
